SEASON,WEEK,MONTH,DAY,YEAR,HOME,VISITOR,LOCATION
0,1,8,11,2024,6,32,14065
0,2,8,18,2024,17,5,0
0,2,8,18,2024,19,10,0
0,2,8,18,2024,3,22,0
0,2,8,18,2024,15,2,0
0,2,8,18,2024,23,32,0
0,2,8,18,2024,1,18,0
0,2,8,18,2024,4,6,0
0,2,8,18,2024,7,28,0
0,2,8,18,2024,13,14,0
0,2,8,18,2024,16,21,0
0,2,8,18,2024,20,30,0
0,2,8,18,2024,24,25,0
0,2,8,18,2024,29,26,0
0,2,8,18,2024,31,11,0
0,2,8,18,2024,12,9,0
0,2,8,18,2024,27,8,0
0,3,8,25,2024,17,22,0
0,3,8,25,2024,3,2,0
0,3,8,25,2024,5,20,0
0,3,8,25,2024,6,7,0
0,3,8,25,2024,12,1,0
0,3,8,25,2024,13,28,0
0,3,8,25,2024,14,10,0
0,3,8,25,2024,15,30,0
0,3,8,25,2024,21,8,0
0,3,8,25,2024,23,4,0
0,3,8,25,2024,24,27,0
0,3,8,25,2024,29,25,0
0,3,8,25,2024,31,16,0
0,3,8,25,2024,32,19,0
0,3,8,25,2024,9,11,0
0,3,8,25,2024,26,18,0
0,4,9,1,2024,7,12,0
0,4,9,1,2024,14,6,0
0,4,9,1,2024,2,13,0
0,4,9,1,2024,21,26,0
0,4,9,1,2024,28,15,0
0,4,9,1,2024,4,5,0
0,4,9,1,2024,8,24,0
0,4,9,1,2024,10,23,0
0,4,9,1,2024,11,3,0
0,4,9,1,2024,20,19,0
0,4,9,1,2024,22,16,0
0,4,9,1,2024,25,31,0
0,4,9,1,2024,32,27,0
0,4,9,1,2024,9,1,0
0,4,9,1,2024,18,29,0
0,4,9,1,2024,30,17,0
1,5,9,8,2024,14,3,0
1,5,9,8,2024,22,11,40128
1,5,9,8,2024,2,23,0
1,5,9,8,2024,4,1,0
1,5,9,8,2024,6,29,0
1,5,9,8,2024,7,17,0
1,5,9,8,2024,10,27,0
1,5,9,8,2024,12,32,0
1,5,9,8,2024,15,13,0
1,5,9,8,2024,18,5,0
1,5,9,8,2024,19,16,0
1,5,9,8,2024,24,21,0
1,5,9,8,2024,25,9,0
1,5,9,8,2024,28,30,0
1,5,9,8,2024,31,8,0
1,5,9,8,2024,26,20,0
1,6,9,15,2024,15,4,0
1,6,9,15,2024,1,27,0
1,6,9,15,2024,3,21,0
1,6,9,15,2024,5,24,0
1,6,9,15,2024,8,18,0
1,6,9,15,2024,9,23,0
1,6,9,15,2024,10,28,0
1,6,9,15,2024,11,12,0
1,6,9,15,2024,13,31,0
1,6,9,15,2024,14,7,0
1,6,9,15,2024,16,26,0
1,6,9,15,2024,17,25,0
1,6,9,15,2024,29,20,0
1,6,9,15,2024,30,19,0
1,6,9,15,2024,32,6,0
1,6,9,15,2024,22,2,0
1,7,9,22,2024,20,17,0
1,7,9,22,2024,1,10,0
1,7,9,22,2024,2,14,0
1,7,9,22,2024,8,3,0
1,7,9,22,2024,12,6,0
1,7,9,22,2024,16,32,0
1,7,9,22,2024,18,22,0
1,7,9,22,2024,21,5,0
1,7,9,22,2024,23,24,0
1,7,9,22,2024,25,15,0
1,7,9,22,2024,27,26,0
1,7,9,22,2024,28,9,0
1,7,9,22,2024,29,11,0
1,7,9,22,2024,31,19,0
1,7,9,22,2024,4,13,0
1,7,9,22,2024,7,30,0
1,8,9,29,2024,19,8,0
1,8,9,29,2024,1,30,0
1,8,9,29,2024,2,18,0
1,8,9,29,2024,3,4,0
1,8,9,29,2024,5,7,0
1,8,9,29,2024,6,27,0
1,8,9,29,2024,11,16,0
1,8,9,29,2024,12,23,0
1,8,9,29,2024,20,9,0
1,8,9,29,2024,21,31,0
1,8,9,29,2024,24,14,0
1,8,9,29,2024,26,17,0
1,8,9,29,2024,28,22,0
1,8,9,29,2024,32,13,0
1,8,9,29,2024,10,25,0
1,8,9,29,2024,15,29,0
1,9,10,6,2024,2,28,0
1,9,10,6,2024,6,5,0
1,9,10,6,2024,7,3,0
1,9,10,6,2024,9,21,0
1,9,10,6,2024,13,12,0
1,9,10,6,2024,16,20,35570
1,9,10,6,2024,17,15,0
1,9,10,6,2024,23,8,0
1,9,10,6,2024,25,19,0
1,9,10,6,2024,26,1,0
1,9,10,6,2024,27,11,0
1,9,10,6,2024,30,31,0
1,9,10,6,2024,32,4,0
1,9,10,6,2024,14,18,0
1,10,10,13,2024,25,26,0
1,10,10,13,2024,3,30,0
1,10,10,13,2024,5,2,0
1,10,10,13,2024,6,13,35570
1,10,10,13,2024,8,10,0
1,10,10,13,2024,9,24,0
1,10,10,13,2024,11,1,0
1,10,10,13,2024,17,32,0
1,10,10,13,2024,18,28,0
1,10,10,13,2024,19,7,0
1,10,10,13,2024,21,23,0
1,10,10,13,2024,22,31,0
1,10,10,13,2024,29,12,0
1,10,10,13,2024,20,4,0
1,11,10,20,2024,18,9,0
1,11,10,20,2024,2,25,0
1,11,10,20,2024,4,29,0
1,11,10,20,2024,11,32,0
1,11,10,20,2024,12,15,0
1,11,10,20,2024,13,17,35570
1,11,10,20,2024,16,10,0
1,11,10,20,2024,19,22,0
1,11,10,20,2024,23,20,0
1,11,10,20,2024,26,14,0
1,11,10,20,2024,27,21,0
1,11,10,20,2024,30,5,0
1,11,10,20,2024,31,7,0
1,11,10,20,2024,1,24,0
1,11,10,20,2024,28,3,0
1,12,10,27,2024,27,16,0
1,12,10,27,2024,7,22,0
1,12,10,27,2024,9,5,0
1,12,10,27,2024,10,29,0
1,12,10,27,2024,13,11,0
1,12,10,27,2024,15,1,0
1,12,10,27,2024,17,20,0
1,12,10,27,2024,21,14,0
1,12,10,27,2024,24,18,0
1,12,10,27,2024,25,4,0
1,12,10,27,2024,26,8,0
1,12,10,27,2024,28,2,0
1,12,10,27,2024,30,6,0
1,12,10,27,2024,31,3,0
1,12,10,27,2024,32,12,0
1,12,10,27,2024,23,19,0
1,13,11,3,2024,20,32,0
1,13,11,3,2024,1,6,0
1,13,11,3,2024,2,8,0
1,13,11,3,2024,3,9,0
1,13,11,3,2024,4,15,0
1,13,11,3,2024,5,18,0
1,13,11,3,2024,7,21,0
1,13,11,3,2024,11,10,0
1,13,11,3,2024,16,12,0
1,13,11,3,2024,19,30,0
1,13,11,3,2024,22,13,0
1,13,11,3,2024,25,27,0
1,13,11,3,2024,29,17,0
1,13,11,3,2024,31,24,0
1,13,11,3,2024,14,28,0
1,14,11,10,2024,3,7,0
1,14,11,10,2024,1,20,0
1,14,11,10,2024,5,19,40063
1,14,11,10,2024,6,17,0
1,14,11,10,2024,8,22,0
1,14,11,10,2024,12,4,0
1,14,11,10,2024,13,16,0
1,14,11,10,2024,14,9,0
1,14,11,10,2024,18,2,0
1,14,11,10,2024,24,29,0
1,14,11,10,2024,28,26,0
1,14,11,10,2024,30,23,0
1,14,11,10,2024,32,10,0
1,14,11,10,2024,27,15,0
1,15,11,17,2024,22,30,0
1,15,11,17,2024,4,14,0
1,15,11,17,2024,6,11,0
1,15,11,17,2024,9,2,0
1,15,11,17,2024,10,13,0
1,15,11,17,2024,15,21,0
1,15,11,17,2024,17,27,0
1,15,11,17,2024,18,31,0
1,15,11,17,2024,20,12,0
1,15,11,17,2024,23,3,0
1,15,11,17,2024,24,7,0
1,15,11,17,2024,26,25,0
1,15,11,17,2024,29,16,0
1,15,11,17,2024,8,32,0
1,16,11,24,2024,31,23,0
1,16,11,24,2024,5,14,0
1,16,11,24,2024,6,16,0
1,16,11,24,2024,11,26,0
1,16,11,24,2024,12,10,0
1,16,11,24,2024,15,17,0
1,16,11,24,2024,19,28,0
1,16,11,24,2024,21,9,0
1,16,11,24,2024,25,1,0
1,16,11,24,2024,27,22,0
1,16,11,24,2024,30,8,0
1,16,11,24,2024,32,29,0
1,16,11,24,2024,24,3,0
1,17,12,1,2024,8,19,0
1,17,12,1,2024,10,6,0
1,17,12,1,2024,11,15,0
1,17,12,1,2024,14,21,0
1,17,12,1,2024,2,24,0
1,17,12,1,2024,3,22,0
1,17,12,1,2024,4,26,0
1,17,12,1,2024,5,28,0
1,17,12,1,2024,7,23,0
1,17,12,1,2024,13,32,0
1,17,12,1,2024,16,1,0
1,17,12,1,2024,17,12,0
1,17,12,1,2024,18,27,0
1,17,12,1,2024,20,25,0
1,17,12,1,2024,30,29,0
1,17,12,1,2024,9,31,0
1,18,12,8,2024,10,11,0
1,18,12,8,2024,1,25,0
1,18,12,8,2024,14,24,0
1,18,12,8,2024,15,20,0
1,18,12,8,2024,16,2,0
1,18,12,8,2024,19,18,0
1,18,12,8,2024,22,5,0
1,18,12,8,2024,23,31,0
1,18,12,8,2024,26,6,0
1,18,12,8,2024,27,4,0
1,18,12,8,2024,28,21,0
1,18,12,8,2024,29,13,0
1,18,12,8,2024,8,7,0
1,19,12,15,2024,26,27,0
1,19,12,15,2024,1,17,0
1,19,12,15,2024,5,8,0
1,19,12,15,2024,9,12,0
1,19,12,15,2024,10,4,0
1,19,12,15,2024,13,20,0
1,19,12,15,2024,18,30,0
1,19,12,15,2024,19,3,0
1,19,12,15,2024,22,23,0
1,19,12,15,2024,24,28,0
1,19,12,15,2024,25,11,0
1,19,12,15,2024,29,7,0
1,19,12,15,2024,31,14,0
1,19,12,15,2024,32,15,0
1,19,12,15,2024,16,6,0
1,19,12,15,2024,21,2,0
1,20,12,22,2024,7,31,0
1,20,12,22,2024,3,23,0
1,20,12,22,2024,14,32,0
1,20,12,22,2024,2,19,0
1,20,12,22,2024,4,17,0
1,20,12,22,2024,5,1,0
1,20,12,22,2024,6,10,0
1,20,12,22,2024,8,28,0
1,20,12,22,2024,12,29,0
1,20,12,22,2024,15,26,0
1,20,12,22,2024,20,27,0
1,20,12,22,2024,21,13,0
1,20,12,22,2024,24,9,0
1,20,12,22,2024,25,16,0
1,20,12,22,2024,30,22,0
1,20,12,22,2024,11,18,0
1,21,12,29,2024,23,14,0
1,21,12,29,2024,32,3,0
1,21,12,29,2024,6,25,0
1,21,12,29,2024,4,20,0
1,21,12,29,2024,7,9,0
1,21,12,29,2024,13,29,0
1,21,12,29,2024,16,11,0
1,21,12,29,2024,17,24,0
1,21,12,29,2024,18,21,0
1,21,12,29,2024,19,12,0
1,21,12,29,2024,22,8,0
1,21,12,29,2024,27,1,0
1,21,12,29,2024,28,5,0
1,21,12,29,2024,30,2,0
1,21,12,29,2024,31,15,0
1,21,12,29,2024,26,10,0
1,22,1,5,2025,1,26,0
1,22,1,5,2025,2,5,0
1,22,1,5,2025,3,31,0
1,22,1,5,2025,8,30,0
1,22,1,5,2025,9,14,0
1,22,1,5,2025,10,16,0
1,22,1,5,2025,11,6,0
1,22,1,5,2025,12,13,0
1,22,1,5,2025,17,4,0
1,22,1,5,2025,20,15,0
1,22,1,5,2025,21,24,0
1,22,1,5,2025,22,19,0
1,22,1,5,2025,23,7,0
1,22,1,5,2025,27,25,0
1,22,1,5,2025,28,18,0
1,22,1,5,2025,29,32,0
